ID,Prev crop,PU?,Year,State,CRD,County,Location,Fld,Latitude,Longitude,Sandy?,Muck?,Soil texture,Soil assoc.,Manure,Irrig,Hybrid,Plt date,Ntiming,Nsource,Model,a,b,c,AONR,Opt. yld,R-sq,EONR
NR-157,Soy,no,2011,IN,C,Hamilton,Becks,K,,,no,no,"SiCL, SiL","Brookston, Crosby",no,no,Becks 5442VT3,11-May,SD,UAN,QP,61.3492,0.8335,-1.57E-03,225,169.4,,230
NR-158,Soy,no,2011,IN,SW,Gibson,Becks - 5422VT3,,,,no,no,SiL,Ragsdale,no,no,Becks 5442VT3,12-May,SD,UAN,QP,92.0843,1.3709,-3.48E-03,196.8,227,,181
NR-159,Corn,no,2011,IN,SW,Gibson,Becks - 5422VT3,,,,no,no,SiL,Ragsdale,no,no,Becks 5442VT3,12-May,SD,UAN,QP,85.7727,0.9047,-1.67E-03,250,207.6,,237
NR-160,Soy,no,2011,IN,SW,Gibson,Becks - 6377HXR,,,,no,no,SiL,Ragsdale,no,no,Becks 6377 HXR,12-May,SD,UAN,QP,81.7069,1.437,-3.78E-03,190.3,218.4,,175
NR-161,Corn,no,2011,IN,SW,Gibson,Becks - 6377HXR,,,,no,no,SiL,Ragsdale,no,no,Becks 6377 HXR,12-May,SD,UAN,QP,62.3819,1.0377,-2.12E-03,244.6,189.3,,218
NR-162,Soy,yes,2011,IN,EC,Randolph,DPAC - M2,M2,40.24589324,-85.14994383,no,no,"SiL, SiCL",Blount/Pewamo,no,no,P35K04,3-Jun,17-Jun,UAN,QP,-8.3565,2.2936,-7.15E-03,160.3,175.5,,153
NR-163,Soy,no,2011,IN,NW,Jasper,Kingma,Marks80,,,yes,no,LS,Watseka-Maumee,no,no,DK61-06 & 62-97,11-May,SD,NH3,QP,148.8,0.4325,-8.60E-04,251.4,203.2,,186
NR-164,Soy,no,2011,IN,NC,Marshall,Lemler,,,,no,no,L,"Brookston, Crosier",no,no,,20-May,SD,NH3,QP,71.4714,1.4118,-3.95E-03,178.8,197.7,,165
NR-165,Soy,no,2011,IN,EC,Henry,Pickering,1-02Wn,,,no,no,"SiL, SiCL, SiL",Celina/Cyclone/Miami,yes,no,P0891XR & P1184R,25-May,SD,UAN,QP,166.5,0.3811,-1.27E-03,149.7,195,,106
NR-166,Soy,yes,2011,IN,NW,Porter,PPAC-C4-DOP,C4,41.45141172,-86.93883777,no,no,L,Sebewa,no,no,P0916XR,19-May,20-May,UAN,QP,56.3387,1.1261,-1.96E-03,223,210,,259
NR-167,Soy,yes,2011,IN,NW,Porter,PPAC-C4-V6,C4,41.45141172,-86.93883777,no,no,L,Sebewa,no,no,P0916XR,19-May,22-Jun,UAN,QP,40.2682,1.8196,-4.70E-03,193.6,216.4,,182
NR-168,Soy,yes,2011,IN,NW,Porter,PPAC-DowExpt,,,,no,no,L,Sebewa,no,no,P0916XR,19-May,SD,UAN,QP,50.0274,1.6964,-4.31E-03,196.8,217,,184
NR-169,Soy,yes,2011,IN,SE,Jennings,SEPAC - G5,G5,39.04346949,-85.52707314,no,no,SiL,"Avonburg, Naab, Ryker-Muscatatuck ",no,no,LG2625,11-May,14-Jun,UAN,QP,24.6187,1.7521,-4.90E-03,178.7,181.2,,167
NR-170,Soy,no,2011,IN,C,Madison,Shuter-CHD2,CHD2,,,no,no,"SiL, SiCL","Celina, Crosby, Mahalasville",no,no,Becks 6733 HXR,1-Jun,SD,UAN,PL,146.6,0.17354,,240,188.2,0.93,
NR-171,Corn,no,2011,IN,C,Madison,Shuter-SSF1,SSF1,,,no,no,"SiCL, SiL","Brookston, Crosby",yes,no,Becks 6733 HXR,"5/13, 5/20",SD,UAN,PL,192.05,0.0366,,190,199,0.67,
NR-172,Soy,yes,2011,IN,SW,Knox,SWPAC - 23,Fld 23,38.74521394,-87.48169541,yes,no,"LfS, fSL, SiCL","Ade, Lyles, Petrolia",no,no,LG2625,17-May,7-Jun,UAN,QP,81.5124,1.7006,-6.29E-03,135.2,196.5,,126
NR-173,Soy,yes,2011,IN,WC,Tippecanoe,TPAC - MS5,MS5,40.26826214,-86.87759757,no,no,"SiCL, SiL","Throckmorton, Toronto-Millbrook, Drummer",no,no,P0916XR,20-May,10-Jun,UAN,QP,93.7872,1.2643,-5.20E-03,121.6,170.7,,111
NR-174,Soy,no,2011,IN,C,Hendricks,Truax,,,,no,no,"SiCL, SiL","Brookston, Crosby",no,no,Becks 6187wx,14-May,SD,UAN,QP,-131.8,3.8587,-1.50E-02,128.6,116.4,,125
NR-175,Soy,yes,2012,IN,WC,Tippecanoe,ACRE - 93,Fld 93,40.485245,-87.00806022,no,no,SiCL,Chalmers,no,no,P0916XR,19-Apr,Avg,UAN,PL,119.31,0.1306,,221,148.2,0.92,
